sourceOccurrenceId	sourceTaxonId	sourceTaxonName	sourceTaxonKingdomName	sourceTaxonPhylumName	sourceTaxonClassName	sourceTaxonOrderName	sourceTaxonFamilyName	sourceTaxonGenusName	sourceTaxonSpecificEpithetName	sourceTaxonSubspecificEpithetName	sourceBodyPartId	sourceBodyPartName	sourceLifeStageId	sourceLifeStageName	sourcePhysiologicalStateId	sourcePhysiologicalStateName	interactionTypeId	interactionTypeName	targetOccurrenceId	targetTaxonId	targetTaxonName	targetTaxonKingdomName	targetTaxonPhylumName	targetTaxonClassName	targetTaxonOrderName	targetTaxonFamilyName	targetTaxonGenusName	targetTaxonSpecificEpithetName	targetTaxonSubspecificEpithetName	targetBodyPartId	targetBodyPartName	targetLifeStageId	targetLifeStageName	targetPhysiologicalStateId	targetPhysiologicalStateName	habitatId	habitatName	localityId	localityName	decimalLatitude	decimalLongitude	depth	altitude	observationDateTime	referenceDoi	referenceUrl	referenceCitation
	GBIF:5051489	Argia nahuana						Argia	nahuana								RO:0002437	interactsWith		GBIF:5051489	Argia nahuana						Argia	nahuana											Gisela, Tonto National Forest	34.0853	-111.287			2019-11-10			
	GBIF:5051489	Argia nahuana						Argia	nahuana								RO:0002437	interactsWith		GBIF:5051489	Argia nahuana						Argia	nahuana											Gisela, Tonto National Forest	34.0853	-111.287			2019-11-10			
	GBIF:5051489	Argia nahuana						Argia	nahuana								RO:0002437	interactsWith		GBIF:5051489	Argia nahuana						Argia	nahuana											Gisela, Tonto National Forest	34.0853	-111.2871			2019-11-10			
	GBIF:5051489	Argia nahuana						Argia	nahuana								RO:0002437	interactsWith		GBIF:5051489	Argia nahuana						Argia	nahuana											Gisela, Tonto National Forest	34.0853	-111.2871			2019-11-10			
	ITIS:109216	Coleoptera															RO:0002454	hasHost		ITIS:202422	Plantae																			-24.444	-65.9613			2020-03-11T11:37:21			
		Altica															RO:0002470	eats		ITIS:202422	Plantae																		Redfield Canyon Wilderness Area	32.4518	-110.3155			2020-04-18			
	GBIF:1862841	Hyles lineata						Hyles	lineata								RO:0002470	eats		GBIF:3188809	Oenothera cespitosa						Oenothera	cespitosa											Hardy Drive & 16th Street, Tempe, Arizona	33.412435	-111.952193			2020-04-21T13:20:54			
	GBIF:1862841	Hyles lineata						Hyles	lineata								RO:0002470	eats		GBIF:3188809	Oenothera cespitosa						Oenothera	cespitosa											Hardy Drive & 16th Street, Tempe, Arizona	33.412435	-111.952193			2020-04-21T13:21:55			
	GBIF:1862841	Hyles lineata						Hyles	lineata								RO:0002470	eats		GBIF:3188809	Oenothera cespitosa						Oenothera	cespitosa											Hardy Drive & 16th Street, Tempe, Arizona	33.412435	-111.952193			2020-04-21T13:22:04			
	GBIF:1862841	Hyles lineata						Hyles	lineata								RO:0002470	eats		GBIF:3188809	Oenothera cespitosa						Oenothera	cespitosa											Hardy Drive & 16th Street, Tempe, Arizona	33.412435	-111.952193			2020-04-21T13:22:13			
	GBIF:1862841	Hyles lineata						Hyles	lineata								RO:0002470	eats		GBIF:3188809	Oenothera cespitosa						Oenothera	cespitosa											Hardy Drive & 16th Street, Tempe, Arizona	33.412435	-111.952193			2020-04-21T13:22:51			
	GBIF:1862841	Hyles lineata						Hyles	lineata								RO:0002470	eats		GBIF:3188809	Oenothera cespitosa						Oenothera	cespitosa											Hardy Drive & 16th Street, Tempe, Arizona	33.412435	-111.952193			2020-04-21T13:23:25			
	GBIF:5137817	Eurema mexicana						Eurema	mexicana								RO:0002455	pollinates		ITIS:202422	Plantae																		Sierra Ancha, Workman Creek, Tonto National Forest	33.8178	-110.9301			2020-08-15T14:29:03			
	GBIF:5137817	Eurema mexicana						Eurema	mexicana								RO:0002455	pollinates		ITIS:202422	Plantae																		Sierra Ancha, Workman Creek, Tonto National Forest	33.8178	-110.9301			2020-08-15T14:29:32			
	GBIF:5137817	Eurema mexicana						Eurema	mexicana								RO:0002455	pollinates		ITIS:202422	Plantae																		Sierra Ancha, Workman Creek, Tonto National Forest	33.8178	-110.9301			2020-08-15T14:31:18			
	GBIF:5137817	Eurema mexicana						Eurema	mexicana								RO:0002455	pollinates		ITIS:202422	Plantae																		Sierra Ancha, Workman Creek, Tonto National Forest	33.8178	-110.9301			2020-08-15T14:32:04			
		Gelastocoris oculatus Gelastocoris						Gelastocoris	oculatus	Gelastocoris							RO:0002437	interactsWith			Gelastocoris oculatus Gelastocoris						Gelastocoris	oculatus	Gelastocoris										Bull Pen Day Use Area, West Clear Creek, Coconino National Forest	34.5392	-111.7042			2021-05-09T14:12:37			
		Gelastocoris oculatus Gelastocoris						Gelastocoris	oculatus	Gelastocoris							RO:0002437	interactsWith			Gelastocoris oculatus Gelastocoris						Gelastocoris	oculatus	Gelastocoris										Bull Pen Day Use Area, West Clear Creek, Coconino National Forest	34.5392	-111.7042			2021-05-09T14:13:07			
	GBIF:5051314	Enallagma praevarum						Enallagma	praevarum								RO:0002437	interactsWith		GBIF:5051314	Enallagma praevarum						Enallagma	praevarum											Sheridan	44.7027	-106.9674			2021-08-11T13:13:14			
